node_id_from,node_id_to,cost,cost_0,alpha,beta,long_from,lat_from,long_to,lat_to,flow_capacity
2,20,2.816134632841642,2.816134632841642,0.775,5.25,151.053699722531,-33.81868408267421,151.01450941527222,-33.811727121479365,12151.544259315038
37,20,4.956000024,4.956000024,1.0,5.0,151.0650960102194,-33.759380042101014,151.01450941527222,-33.811727121479365,2089.58837729013
43,20,2.0466666733333336,2.0466666733333336,0.7000000000000001,5.333333333333333,150.97113116832975,-33.81223746294481,151.01450941527222,-33.811727121479365,10342.43697987352
48,20,9.047999904,9.047999904,1.0,5.0,150.94257978767277,-33.876061474420986,151.01450941527222,-33.811727121479365,2931.03448335315
52,20,3.383999976,3.383999976,1.0,5.0,151.00124546608743,-33.753074401695564,151.01450941527222,-33.811727121479365,2468.08510615663
2,36,2.2880000320000002,2.2880000320000002,0.55,5.5,151.053699722531,-33.81868408267421,151.07737489084928,-33.870184980041365,6667.30768139053
8,36,2.111999988,2.111999988,1.0,5.0,151.08813489986295,-33.939757026047964,151.07737489084928,-33.870184980041365,2000.0
50,36,6.785999974,6.785999974,0.55,5.5,151.10109300778302,-33.814963993221305,151.07737489084928,-33.870184980041365,5116.24999894375
53,36,3.5760000020000002,3.5760000020000002,1.0,5.0,151.14346321576653,-33.88778305078269,151.07737489084928,-33.870184980041365,7408.23970179551
58,36,2.4899999939999997,2.4899999939999997,1.0,5.0,151.03898303118194,-33.92377893458613,151.07737489084928,-33.870184980041365,6000.0
2,37,2.652000036,2.652000036,1.0,5.0,151.053699722531,-33.81868408267421,151.06506023963402,-33.75942108976387,2000.0
7,37,5.664000013200001,5.664000013200001,1.0,5.0,151.11184489586083,-33.70108441706498,151.06506023963402,-33.75942108976387,3000.0
20,37,4.956000024,4.956000024,1.0,5.0,151.01449379636105,-33.81172787292927,151.06506023963402,-33.75942108976387,2089.58837729013
21,37,4.209999974,4.209999974,0.55,5.5,151.13088477537065,-33.78783780432405,151.06506023963402,-33.75942108976387,6655.03000389153
32,37,8.519999974800001,8.519999974800001,1.0,5.0,151.0342327405014,-33.66551880740824,151.06506023963402,-33.75942108976387,1615.4929566092
50,37,2.399999952,2.399999952,1.0,5.0,151.10109300778302,-33.814963993221305,151.06506023963402,-33.75942108976387,2000.0
52,37,4.305471437824985,4.305471437824985,0.55,5.5,151.00124546608743,-33.753074401695564,151.06506023963402,-33.75942108976387,5181.92397872515
2,50,3.2579999814,3.2579999814,1.0,5.0,151.053699722531,-33.81868408267421,151.10109300778296,-33.8149639932213,4310.69340215946
21,50,2.4599999616,2.4599999616,1.0,5.0,151.13088477537065,-33.78783780432405,151.10109300778296,-33.8149639932213,3000.0
30,50,3.9599999880000003,3.9599999880000003,1.0,5.0,151.14815926277524,-33.84227527460925,151.10109300778296,-33.8149639932213,2824.2424194674
36,50,6.785999974,6.785999974,0.55,5.5,151.07739273702276,-33.87019512491017,151.10109300778296,-33.8149639932213,5116.24999894375
37,50,2.399999952,2.399999952,1.0,5.0,151.0650960102194,-33.759380042101014,151.10109300778296,-33.8149639932213,2000.0
2,58,7.7039999975999995,7.7039999975999995,1.0,5.0,151.053699722531,-33.81868408267421,151.03901316494532,-33.92376575312403,3000.0
8,58,2.155350749671904,2.155350749671904,0.82,5.2,151.08813489986295,-33.939757026047964,151.03901316494532,-33.92376575312403,12295.23223441232
34,58,3.4199999639999996,3.4199999639999996,1.0,5.0,151.03174481635352,-33.96923503566577,151.03901316494532,-33.92376575312403,2168.4210508956603
36,58,2.4899999939999997,2.4899999939999997,1.0,5.0,151.07739273702276,-33.87019512491017,151.03901316494532,-33.92376575312403,6000.0
42,58,3.561925876448775,3.561925876448775,0.55,5.5,150.98264512934995,-33.949415277894765,151.03901316494532,-33.92376575312403,6466.859763546459
48,58,7.78799997,7.78799997,1.0,5.0,150.94257978767277,-33.876061474420986,151.03901316494532,-33.92376575312403,3000.0
28,3,2.7909887844187566,2.7909887844187566,0.7000000000000001,5.333333333333333,150.9501358290991,-33.74598953343517,150.9108214463197,-33.76301643922636,8267.28464790375
47,3,2.9700000114,2.9700000114,1.0,5.0,150.91272654758998,-33.80308445160977,150.9108214463197,-33.76301643922636,2845.3458326646805
59,3,5.36090903377631,5.36090903377631,0.55,5.5,150.8445477431561,-33.741650578115,150.9108214463197,-33.76301643922636,5113.38147350586
3,28,2.7909494897046834,2.7909494897046834,0.7000000000000001,5.333333333333333,150.91082144631972,-33.76301643922635,150.95018284030118,-33.74606044442596,8287.79701198651
41,28,6.960000012,6.960000012,1.0,5.0,150.83722169349326,-33.61939318146369,150.95018284030118,-33.74606044442596,2362.0689700654
43,28,4.7999999639999995,4.7999999639999995,1.0,5.0,150.97113116832975,-33.81223746294481,150.95018284030118,-33.74606044442596,2349.999997625
52,28,4.525664685448425,4.525664685448425,0.775,5.25,151.00124546608743,-33.753074401695564,150.95018284030118,-33.74606044442596,8109.436085568521
3,47,2.9700000114,2.9700000114,1.0,5.0,150.91082144631972,-33.76301643922635,150.91283408705524,-33.803103725113594,2845.3458326646805
26,47,3.491000016,3.491000016,0.55,5.5,150.85409230258085,-33.798172952325345,150.91283408705524,-33.803103725113594,6867.04348730198
43,47,3.38125518822688,3.38125518822688,0.55,5.5,150.97113116832975,-33.81223746294481,150.91283408705524,-33.803103725113594,7935.8388160534605
